Date : 2020-12-21 13:27:14
Directory : /Users/callum/Workplace/Otherworld/site/src
Total : 197 files,  10195 codes, 431 comments, 1708 blanks, all 12334 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| TypeScript       |        149 |      7,465 |        287 |      1,388 |      9,140 |
| TypeScript React |         47 |      2,727 |        143 |        318 |      3,188 |
| JavaScript       |          1 |          3 |          1 |          2 |          6 |
+------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                              |        197 |     10,195 |        431 |      1,708 |     12,334 |
| client                                                                                                         |        193 |     10,102 |        427 |      1,685 |     12,214 |
| client/engine                                                                                                  |         45 |      2,468 |        169 |        367 |      3,004 |
| client/engine/commands                                                                                         |          5 |        167 |         22 |         24 |        213 |
| client/engine/components                                                                                       |         11 |        591 |          0 |         75 |        666 |
| client/engine/components/core                                                                                  |          7 |        458 |          0 |         55 |        513 |
| client/engine/components/util                                                                                  |          4 |        133 |          0 |         20 |        153 |
| client/engine/events                                                                                           |          9 |        185 |         15 |         53 |        253 |
| client/engine/player                                                                                           |          1 |        288 |         58 |         42 |        388 |
| client/engine/scripting                                                                                        |         14 |      1,030 |         72 |        133 |      1,235 |
| client/engine/scripting/factory                                                                                |          6 |        748 |          2 |         61 |        811 |
| client/engine/scripting/items                                                                                  |          6 |        169 |          8 |         36 |        213 |
| client/engine/scripting/items/behaviours                                                                       |          2 |         27 |          8 |          4 |         39 |
| client/engine/scripting/items/tests                                                                            |          1 |         36 |          0 |          8 |         44 |
| client/engine/state                                                                                            |          2 |         55 |          0 |         12 |         67 |
| client/generation                                                                                              |          5 |        226 |          0 |         37 |        263 |
| client/generation/genetic                                                                                      |          1 |          0 |          0 |          1 |          1 |
| client/generation/model                                                                                        |          3 |        173 |          0 |         35 |        208 |
| client/generation/model/__tests__                                                                              |          1 |         15 |          0 |          4 |         19 |
| client/generation/scenery                                                                                      |          1 |         53 |          0 |          1 |         54 |
| client/resources                                                                                               |         16 |        755 |         63 |        123 |        941 |
| client/resources/design                                                                                        |          2 |         12 |          0 |          3 |         15 |
| client/resources/manifests                                                                                     |          4 |         53 |         55 |         19 |        127 |
| client/resources/maps                                                                                          |          5 |        232 |          3 |         31 |        266 |
| client/resources/maps/converter                                                                                |          1 |         58 |          0 |          4 |         62 |
| client/resources/maps/maps                                                                                     |          1 |         52 |          0 |          2 |         54 |
